time,tradeDate,nominal,dv01,recTrader,recEndState,security,platform,buySell,cName,isVoice,won,tradedAway,tiedAway,rejected,sign,countryCode,bondType,currency,securityClass,desk,sector,maturityDate,classification,Salesperson,RMHF
57:18.7,03/03/2019,3129077.567,1773.296129,trader0,TradedAwayTied,security0,Bloomberg,Sell,client0,0,0,0,1,0,-1,FR,BTF,EUR,EGB_BILLS,EUR BILLS,0-2,22/03/2021,Floating,salesperson3,HedgeFund
05:36.7,03/03/2019,16259173.05,9955.259382,trader1,CustomerRejected,security1,Tradeweb,Receive,client1,0,0,0,0,0,-1,US,TBOND,USD,TBOND,UST,3.5-5.5,15/04/2022,Nominal,salesperson7,RealMoney
55:56.9,06/09/2019,51330417.06,9895.363734,trader1,DealerExpired,security2,Bloomberg,Buy,client2,0,0,0,0,0,1,US,[NULL],USD,IrsVanilla,USD SWAPS,2-3.5,15/11/2019,Nominal,salesperson4,HedgeFund
59:27.7,03/03/2019,2850272.107,7.125680267,trader2,DealerRejected,security3,Bloomberg,Pay,client3,0,0,0,0,1,1,FR,BTF,EUR,EGB_BILLS,EUR BILLS,0-2,22/06/2028,Floating ,salesperson3,HedgeFund
49:57.0,03/03/2019,188492.5662,93.60510123,trader3,TradedAway,security4,Bloomberg,Pay,client4,0,0,1,0,0,1,HK,EuroUSD,USD,BOND,CREDIT-AEJ,0-2,15/05/2024,Nominal,salesperson0,RealMoney
57:53.9,06/09/2019,44096052.57,74853.46951,trader4,CustomerRejected,security5,Bloomberg,Buy,client5,0,0,0,0,0,1,GB,UKT,GBP,GILTS,GILTS,3.5-5.5,23/01/2023,Nominal,salesperson3,RealMoney
43:09.5,06/09/2019,456549849.2,2154.915288,trader2,Covered,security6,Tradeweb,Receive,client6,0,0,0,0,0,-1,DE,EuroEUR,EUR,EGB,INF-EMEA,3.5-5.5,01/09/2020,Nominal,salesperson1,HedgeFund
01:33.8,06/09/2019,1570097443,3015918.823,trader5,DoneTied,security7,Tradeweb,Sell,client7,0,1,0,0,0,-1,GR,GGB,EUR,EGB,EGB,2-3.5,29/01/2022,Nominal,salesperson7,HedgeFund
00:28.5,06/09/2019,6461132.959,3986.519036,trader6,CustomerRejected,security8,Tradeweb,Pay,client8,0,0,0,0,0,1,PH,EuroUSD,USD,BOND,CREDIT-AEJ,Oct-30,05/02/2022,Nominal,salesperson5,RealMoney
13:13.4,06/09/2019,1274797854,1067369.748,trader6,DealerExpired,security9,Tradeweb,Buy,client9,0,0,0,0,0,1,MX,Samurai,JPY,BOND,[NULL],5.5-10,31/10/2044,Nominal,salesperson6,RealMoney
12:37.6,06/09/2019,128819405.1,86054.58311,trader6,Done,security10,Tradeweb,Sell,client9,0,1,0,0,0,-1,IT,[NULL],EUR,EGB,EGB,2-3.5,15/11/2022,Floating ,salesperson0,RealMoney
06:26.8,06/09/2019,685834.9187,303.8494714,trader7,Done,security11,VOICE,Buy,client10,1,1,0,0,0,1,DE,EuroEUR,EUR,MEDIUM-TERM-NOTE,FBG,5.5-10,22/07/2027,Floating ,salesperson3,RealMoney
09:57.4,06/09/2019,4710359071,326293.3019,trader6,DealerExpired,security12,Yensai,Buy,client11,0,0,0,0,0,1,DE,[NULL],GBP,MEDIUM-TERM-NOTE,FBG,0-2,25/05/2023,Floating ,salesperson2,HedgeFund
24:10.5,06/09/2019,2492845483,2213524.832,trader8,Done,security13,Bloomberg,Buy,client12,0,1,0,0,0,1,DE,EuroEUR,EUR,MEDIUM-TERM-NOTE,FBG,Oct-30,05/02/2027,Floating ,salesperson2,RealMoney
27:45.6,06/09/2019,35837039.23,75479.71526,trader8,Covered,security14,Bloomberg,Receive,client12,0,0,0,0,0,-1,US,TBOND,USD,TBOND,UST,2-3.5,28/03/2019,Floating ,salesperson4,RealMoney
11:30.7,06/09/2019,2385806065,104805.0521,trader6,CustomerExpired,security15,Yensai,Receive,client11,0,0,0,0,0,-1,BE,BGB,EUR,EGB,INF-EMEA,0-2,31/10/2048,Floating ,salesperson6,HedgeFund
11:33.4,06/09/2019,1137832604,2086002.167,trader9,DealerRejected,security16,Yensai,Sell,client13,0,0,0,0,1,-1,BE,BGB,EUR,EGB,EGB,3.5-5.5,30/01/2042,Floating ,salesperson3,RealMoney
12:53.4,06/09/2019,3489620457,11147801.93,trader9,TradedAwayTied,security17,Tradeweb,Buy,client14,0,0,0,1,0,1,HK,EuroUSD,USD,BOND,CREDIT-AEJ,2-3.5,05/02/2028,InfLinked,salesperson3,RealMoney
